Symptom,Disease
amaurosis,blindness;periarthritis;cataract;retinitis pigmentosa 72;retinitis pigmentosa 35;retinitis pigmentosa 58;Wolfram syndrome;retinitis pigmentosa 63;retinitis pigmentosa 46;lateral myocardial infarction;bladder tuberculosis;Brunner Syndrome;retinitis pigmentosa 9;retinitis pigmentosa 71;trigeminal neuralgia;retinitis pigmentosa 89;cataract 40;cataract 36;cataract 35;Holt-Oram syndrome;retinitis pigmentosa 81;retinitis pigmentosa 26;Wolfram syndrome 2;retinitis pigmentosa 29;diabetes mellitus;tarsal tunnel syndrome;myocardial infarction;retinitis pigmentosa 11;Usher syndrome;retinal disease;pseudoretinitis pigmentosa;carpal tunnel syndrome 1;cataract 25;laryngeal disease;cataract 47;retinitis pigmentosa 10;bone disease;retinitis pigmentosa 32;dermatitis;retinitis pigmentosa 62;diabetic angiopathy;retinitis pigmentosa 69;retinitis pigmentosa 27;retinitis pigmentosa 50;retinitis pigmentosa 68;hepatitis;retinitis pigmentosa 70;Wolfram syndrome 1;posterior myocardial infarction;type 1 diabetes mellitus;retinitis pigmentosa 67;retinitis pigmentosa 48;ocular tuberculosis;cataract 45;Usher syndrome type 3;apical myocardial infarction;diabetic neuropathy;cataract 7;Usher syndrome type 1;keratitis;retinitis pigmentosa 51;retinitis pigmentosa 37;retinitis pigmentosa 43;spinal disease;ileitis;intestinal disease;retinitis pigmentosa 3;cataract 23;retinitis pigmentosa 34;diabetic encephalopathy;retinitis pigmentosa 61;retinitis pigmentosa;type 2 diabetes mellitus;retinitis pigmentosa 49;cataract 42;cataract 18;retinitis pigmentosa 55;retinitis pigmentosa 14;retinitis pigmentosa 13;retinitis pigmentosa 1;retinitis pigmentosa 57;encephalitis;retinitis pigmentosa 85;retinitis pigmentosa 45;cataract 41;Char syndrome;retinitis pigmentosa 44;Worth syndrome;uveitis;corneal disease;cataract 37;retinitis pigmentosa 20;retinitis pigmentosa 2;retinitis pigmentosa 22;acute myocardial infarction;retinitis pigmentosa 42;cataract 28;retinitis pigmentosa 18;retinitis pigmentosa 41;carpal tunnel syndrome;retinitis pigmentosa 12;cataract 44;rectal disease;Behr syndrome;retinitis pigmentosa 56;cataract 38;inferior myocardial infarction;retinitis pigmentosa 17;retinitis pigmentosa 6;cataract 33;septal myocardial infarction;retinitis pigmentosa 31;retinitis pigmentosa 77;cataract 48;cataract 24;borna disease;retinitis pigmentosa 33;retinitis pigmentosa 74;carpal tunnel syndrome 2;retinitis pigmentosa Y-linked;glaucoma;myopia;retinitis pigmentosa 30;meningoencephalitis;retinitis pigmentosa 88;autoimmune disease;retinitis pigmentosa 28;retinitis pigmentosa 54;retinitis pigmentosa 25;silent myocardial infarction;Kunjin encephalitis;retinitis pigmentosa 7;retinitis pigmentosa 36;cataract 29;retinitis pigmentosa 73;retinitis pigmentosa 40;vein disease;ureter tuberculosis;retinitis pigmentosa 59;retinitis pigmentosa 4;retinitis pigmentosa 75;cataract 30;retinitis pigmentosa 19;retinitis pigmentosa 38;retinitis pigmentosa 60;Fraser syndrome;retinitis pigmentosa 87;cataract 43;nail disease;retinitis pigmentosa 86;retinitis pigmentosa 39;retinitis pigmentosa 23;cataract 27;retinitis pigmentosa 84;retinitis pigmentosa 90;retinitis pigmentosa 47;retinitis pigmentosa 83;Usher syndrome type 2;diabetic retinopathy;retinitis pigmentosa 24;retinitis pigmentosa 66
pupil symptom,
contracted pupil,type 2 diabetes mellitus;Alzheimer's disease 18;diabetes mellitus;Char syndrome;autonomic nervous system benign neoplasm;Alzheimer's disease 9;liver disease;diabetic neuropathy;myiasis;diabetic polyneuropathy;Alzheimer's disease 2;diabetic encephalopathy;Muenke Syndrome;Alzheimer's disease 8;Alzheimer's disease 10;Alzheimer's disease 4;Alzheimer's disease 1;Alzheimer's disease 19;myopia;type 1 diabetes mellitus;diabetic angiopathy;Alzheimer's disease 16;Mast syndrome;COVID-19;Alzheimer's disease 14;blepharospasm;autonomic nervous system disease;Alzheimer's disease 5;Alzheimer's disease 13;Alzheimer's disease 12;Alzheimer's disease 6;diabetic retinopathy;Martsolf syndrome;Marshall syndrome;Marfan syndrome;pain disorder;Laron syndrome;Larsen syndrome;Alzheimer's disease 7;nervous system disease;Alzheimer's disease 3;Alzheimer's disease;Graves ophthalmopathy;Alzheimer's disease 11;sciatic neuropathy;autonomic nervous system neoplasm;Alzheimer's disease 15;Alzheimer's disease 17;exfoliation syndrome;iris disease
miosis,cataract 48;cataract 42;cataract 44;blepharitis;esotropia;retinoblastoma;glioblastoma;Danon disease;hyperthyroidism;autonomic nervous system disease;cataract 28;nephroblastoma;cataract 36;peripheral nervous system benign neoplasm;ganglioneuroblastoma;astroblastoma;central nervous system sarcoma;pinta disease;cataract 33;myasthenia gravis;lymphoma;cataract 45;Brunner Syndrome;cataract 24;cerebral degeneration;coccidiosis;Werner syndrome;myositis;myiasis;glossopharyngeal nerve neoplasm;nose disease;osteoblastoma;Muenke Syndrome;trigeminal neuralgia;nasopharyngeal disease;cataract 35;cataract 41;myopia;pineoblastoma;cataract 25;pneumothorax;neuroblastoma;cataract 30;medulloblastoma;pyomyositis;herpes zoster;cataract 7;fucosidosis;vertebral artery occlusion;peripheral nervous system neoplasm;cataract 27;nervous system disease;carotid artery dissection;ocular motility disease;intestinal disease;hypertension;noma;Troyer syndrome;Binder syndrome;sarcoidosis;glossopharyngeal nerve paralysis;presbyopia;Down syndrome;alexia;Fraser syndrome;spinal disease;cataract 43;craniosynostosis 7;cataract 29;Turner syndrome;hypoparathyroidism;gastrointestinal adenoma;glossopharyngeal nerve disease;gastrointestinal system disease;cataract 18;ophthalmoplegia;brachial plexus lesion;dyslexia;macroglobulinemia;peripheral nervous system disease;blepharophimosis;gastrointestinal system cancer;ameloblastoma;Frey syndrome;neurosarcoidosis;hepatoblastoma;iodine hypothyroidism;cataract 38;phimosis;chondroblastoma;central nervous system disease;glaucoma;autonomic nervous system benign neoplasm;central nervous system lipoma;Norrie disease;blood platelet disease;hypotropia;craniosynostosis;myoblastoma;thyroiditis;cataract 40;cataract 47;spinal cord disease;cataract 37;exotropia;hyperparathyroidism;polymyositis;primary cerebellar degeneration;Horner's syndrome;cataract;amyloidosis;skin sarcoidosis;eyelid disease;ichthyosis;blastoma;hypothyroidism;hemopneumothorax;Behr syndrome;Carpenter syndrome;autonomic nervous system neoplasm;cataract 23;astigmatism
bloating,
hematochezia,Burkitt lymphoma;bronchitis;hyperuricemia;orbit lymphoma;inflammatory bowel disease 23;angiodysplasia;proctitis;toxic encephalopathy;gout;inflammatory bowel disease 21;extracranial neuroblastoma;intracranial berry aneurysm 5;vascular skin disease;intracranial berry aneurysm 7;intracranial berry aneurysm 2;intracranial berry aneurysm 1;inflammatory bowel disease 9;intracranial berry aneurysm 9;vascular disease;intracranial berry aneurysm 3;inflammatory bowel disease 18;von Willebrand's disease 3;ethylmalonic encephalopathy;parotitis;inflammatory bowel disease 17;intracranial berry aneurysm;Wernicke encephalopathy;inflammatory bowel disease 16;liver cirrhosis;inflammatory bowel disease 2;inflammatory bowel disease 4;hemoglobinuria;intracranial berry aneurysm 12;omodysplasia 2;muscular disease;Clostridium difficile colitis;aortic valve stenosis;tricuspid valve stenosis;omodysplasia 1;intracranial berry aneurysm 8;inflammatory bowel disease 26;inflammatory bowel disease 5;inflammatory bowel disease 30;intracranial berry aneurysm 11;inflammatory bowel disease 13;inflammatory bowel disease 7;inflammatory bowel disease 24;intracranial berry aneurysm 10;hemorrhoid;inflammatory bowel disease 28;inflammatory bowel disease 14;varicose veins;inflammatory bowel disease 12;intracranial berry aneurysm 4;inflammatory bowel disease 6;von Willebrand's disease 1;anemia;diabetic encephalopathy;inflammatory bowel disease 20;gastrointestinal adenoma;inflammatory bowel disease 3;intracranial aneurysm;intracranial embolism;testicular disease;inflammatory bowel disease 1;inflammatory bowel disease;inflammatory bowel disease 29;dentin dysplasia;inflammatory bowel disease 27;familial atrial fibrillation;gastrointestinal lymphoma;inflammatory bowel disease 11;multiple myeloma;Kniest dysplasia;omodysplasia;atrial fibrillation;hyperprolinemia;von Willebrand's disease;gastrointestinal tularemia;COVID-19;inflammatory bowel disease 10;inflammatory bowel disease 22;inflammatory bowel disease 19;pancytopenia;gastrointestinal allergy;inflammatory bowel disease 25;intracranial berry aneurysm 6;inflammatory bowel disease 15;von Willebrand's disease 2;inflammatory bowel disease 8;hepatic encephalopathy;nail disease
dyspepsia,gastrointestinal carcinoma;diabetes mellitus;melanoma;Ehlers-Danlos syndrome classic-like 2;irritable bowel syndrome;gastritis;Ehlers-Danlos syndrome classic-like 1;arthritis;postcholecystectomy syndrome;gastrointestinal adenoma;Caroli syndrome;postgastrectomy syndrome;gastrointestinal system disease;gastroesophageal cancer;Ehlers-Danlos syndrome classic type 1;gastrointestinal system cancer;mastitis;Ehlers-Danlos syndrome;Ehlers-Danlos syndrome classic type 2;brain disease;gastroparesis;prion disease;intestinal disease;gastrointestinal lymphoma;gastroesophageal reflux disease;vascular type Ehlers-Danlos syndrome
pyrosis,irritable bowel syndrome;viral esophagitis;postcholecystectomy syndrome;nasopharyngitis;eosinophilic gastritis;esophageal candidiasis;gastrointestinal adenoma;esophageal atresia;postgastrectomy syndrome;gastrointestinal system disease;esophagitis;gastroesophageal cancer;astroblastoma;gastrointestinal system cancer;Barrett's esophagus;gastroparesis;eosinophilic meningitis;eosinophilic esophagitis;intestinal disease;pharyngitis;gastroesophageal reflux disease
claudication,heart disease;otosclerosis 1;type 2 diabetes mellitus;aortic atherosclerosis;diabetes mellitus;peripheral artery disease;breast disease;otosclerosis 2;tuberous sclerosis 2;tuberous sclerosis;arteriolosclerosis;otosclerosis 7;thrombocytosis;glomerulosclerosis;nephrosclerosis;arteriosclerosis;atrial fibrillation;type 1 diabetes mellitus;hemosiderosis;artery disease;otosclerosis;lateral sclerosis;otosclerosis 8;otosclerosis 3;atherosclerosis;intermittent claudication;otosclerosis 10;thrombosis;coronary stenosis;otosclerosis 5;cerebral atherosclerosis;cerebral arterial disease;aortic disease;osteosclerosis;Hirata disease;cardiomyopathy;otosclerosis 4;tuberous sclerosis 1;familial atrial fibrillation;Hartnup disease;otosclerosis 11;coronary restenosis
reticulocytosis,glucosephosphate dehydrogenase deficiency;diabetic encephalopathy;triosephosphate isomerase deficiency;histiocytosis;polycythemia;polycythemia vera;oxoglutarate dehydrogenase deficiency;diabetic neuropathy
macrocytosis,
hypoventilation,hypothalamic disease;autism spectrum disorder;adult respiratory distress syndrome;cerebrovascular disease;encephalitis;autonomic nervous system benign neoplasm;atrophic muscular disease;myotonic dystrophy type 2;viral encephalitis;blepharitis;osteoblastoma;newborn respiratory distress syndrome;myoblastoma;myotonic dystrophy type 1;encephalomyelitis;epilepsy;retinoblastoma;glioblastoma;pineoblastoma;muscular disease;somatization disorder;neuromuscular disease;autonomic nervous system disease;neuroblastoma;nephroblastoma;intellectual disability;medulloblastoma;syndromic intellectual disability;blepharophimosis;ganglioneuroblastoma;astroblastoma;hypothalamic neoplasm;blastoma;neuroendocrine tumor;ameloblastoma;thalamic disease;eating disorder;anal gland neoplasm;nervous system disease;neuromuscular junction disease;anal neuroendocrine tumor;hepatoblastoma;Prader-Willi syndrome;overnutrition;nephritis;autonomic nervous system neoplasm;chondroblastoma
bradypnea,
pleuritic chest pain,apical myocardial infarction;calcinosis;lateral myocardial infarction;silent myocardial infarction;pleurisy;lung disease;cervicitis;thrombocytosis;antiphospholipid syndrome;posterior myocardial infarction;inferior myocardial infarction;pneumothorax;septal myocardial infarction;retinal disease;hepatitis E;hepatitis B;hemopericardium;pulmonary talcosis;thrombosis;hepatitis A;periarthritis;pericoronitis;colitis;scoliosis;myocardial infarction;hemopneumothorax;hepatitis D;acute myocardial infarction;endocarditis;hepatitis C;pneumonia;pericarditis;intestinal disease;pulmonary fibrosis;pericardial effusion;hepatitis;pulmonary embolism;mucolipidosis
sputum,respiratory system disease;bronchiectasis 1;hepatic tuberculosis;intestinal tuberculosis;oral tuberculosis;bacteriuria;bronchitis;tuberculosis;coccidiosis;invasive aspergillosis;ureter tuberculosis;asthma;bladder tuberculosis;galactosemia;renal tuberculosis;cystic fibrosis;cystinosis;bronchiectasis 3;COVID-19;Legionnaires' disease;byssinosis;cysticercosis;urogenital tuberculosis;gastroesophageal cancer;amyloidosis;skin sarcoidosis;respiratory system cancer;pulmonary edema;splenic tuberculosis;fucosidosis;Klebsiella pneumonia;neurosarcoidosis;ocular tuberculosis;Mycoplasma pneumoniae pneumonia;pneumonia;glycoproteinosis;bronchiectasis 2;bronchiectasis;sarcoidosis;gastroesophageal reflux disease
itching,loiasis;porokeratosis;psoriasis 7;psoriasis 1;psoriasis 12;psoriasis 3;psoriasis 10;tinea corporis;tinea cruris;lice infestation;psoriasis 8;restless legs syndrome;tick infestation;tinea pedis;psoriasis 11;mite infestation;cystinosis;hand dermatosis;psoriasis 13;lichen planus;psoriasis 2;atopic dermatitis;byssinosis;kidney disease;skin disease;keratosis;setariasis;psoriasis 4;hidradenitis suppurativa;dermatomycosis;herpes zoster;psoriasis 6;parapsoriasis;chronic urticaria;acneiform dermatitis;vein disease;psoriasis 9;exanthem;psoriasis 15;neurodermatitis;acrodermatitis;dermatomyositis;dermatitis;ascariasis;psoriasis 5;urticaria;psoriasis
anasarca,osteoporosis;renal fibrosis;trigonitis;skin meningioma;diabetic angiopathy;periodontitis;osteochondrodysplasia;prion disease;genital herpes;type 1 diabetes mellitus;ophthalmoplegia;myositis;ochronosis;brain disease;anismus;tenosynovitis;retinal disease;osteonecrosis;angioedema;appendiceal neoplasm;lymphedema;synovitis;hyperparathyroidism;Danon disease;cystitis;brain edema;pericoronitis;hyperthyroidism;periostitis;preretinal fibrosis;hypoparathyroidism;osteochondrosis;lymphangitis;lung meningioma;peritonitis;iodine hypothyroidism;diabetic encephalopathy;vascular dementia;diabetic neuropathy;hypothyroidism;osteoarthritis;type 2 diabetes mellitus;telangiectasis;thrombocytosis;pyomyositis;uremia;diabetes mellitus;diabetic retinopathy;myasthenia gravis;COVID-19;thalassemia;bone marrow disease;meningioma;neuronitis;intestinal disease;rhinitis;thrombosis;overnutrition;thyroiditis;benign ileal neoplasm;senile angioma;alpha thalassemia;spinal disease
urticaria,uterine inflammatory disease;vasculitis;hyperglycemia;angioedema;urticaria;chronic urticaria;hypertension;hereditary angioedema type I;hypoglycemic coma;exanthem;Melkersson-Rosenthal syndrome;retinitis;hereditary angioedema type III;panniculitis;renal hypertension;polycythemia;COVID-19;leukocyte disease;photosensitivity disease;familial mediterranean fever;meningitis;tendinitis;hypoglycemia
paresthesia,musculoskeletal system cancer;synpolydactyly;syndactyly;Brunner Syndrome;polydactyly;autoimmune disease;peripheral nervous system disease;peripheral nervous system neoplasm;vaginal disease;spinal cord disease;salivary gland disease;lymphedema;exanthem;leprosy;carpal tunnel syndrome 1;carpal tunnel syndrome 2;laryngeal disease;carpal tunnel syndrome;orbit lymphoma;Burkitt lymphoma;musculoskeletal system disease;depressive disorder;hair disease;central nervous system disease;peripheral nervous system benign neoplasm;neuroma;neurilemmoma;nasopharyngeal disease;pinta disease;vitamin B12 deficiency;corneal disease;thalassemia;photosensitivity disease;tarsal tunnel syndrome;nail disease;burning mouth syndrome;spinal disease
abnormal vaginal bleeding,anemia;male infertility;Ehlers-Danlos syndrome classic-like 2;Ehlers-Danlos syndrome;infertility;vein disease;placenta praevia;pyometritis;myoma;Goldenhar syndrome;intestinal perforation;eclampsia;dermatomycosis;myositis;Ehlers-Danlos syndrome classic-like 1;retinal perforation;endometritis;arteriovenous malformation;leiomyoma;adenomyoma;cystitis;Cowden syndrome;coronary artery disease;parovarian cyst;endometrial hyperplasia;polycystic ovary syndrome;acute endometritis;angiomyoma;vascular type Ehlers-Danlos syndrome;pulmonary fibrosis;pyomyositis;Ehlers-Danlos syndrome classic type 1;borna disease;vaginal discharge;placenta accreta;Ehlers-Danlos syndrome classic type 2;COVID-19;pulmonary embolism;pre-eclampsia;chorioamnionitis;ovarian cyst;endometriosis;uterine disease;arteriovenous malformations of the brain;cervix endometriosis
